106;1.67;232;12.6;10;1;Julie
45;1.82;270;17.2;11;2;Helene
108;1.79;260;17;12;3;Francois
106;1.6;290;19.1;13;4;Gerard
104;1.51;284;13;11;5;Chantal
65;1.35;258;8.9;8;6;Michel
52;1.51;255;10.3;14;7;Marc
54;1.81;166;17.3;10;8;Pascal
89;1.69;291;18.6;15;9;Christophe
93;1.76;114;8.2;9;10;Marguerite
58;1.76;150;15.5;15;11;Patricia
78;1.84;106;18.1;9;12;Christiane
69;1.31;131;17.6;12;13;Paulette
47;1.3;187;7;14;14;Marie
102;1.7;175;7.8;8;15;Roger
72;1.52;253;18.2;12;16;Daniel
90;1.43;100;16.1;13;17;Christophe
62;1.82;216;10.5;12;18;Lucie
51;1.48;276;15.6;15;19;Frederic
91;1.6;131;15.6;9;20;Michel
92;1.35;297;7.8;10;21;Yves
86;1.38;188;14.3;11;22;Helene
49;1.31;188;19.5;14;23;Emilie
98;1.62;172;19.7;11;24;Marie
113;1.93;212;7.3;15;25;Christophe
75;1.47;234;12.1;8;26;Jacques
74;1.9;240;15.4;9;27;Louis
58;1.83;114;9.7;8;28;Antoine
106;1.42;296;19.2;11;29;Camille
53;1.68;239;19.4;10;30;Emilie
94;1.59;128;14;10;31;Frederic
109;1.57;294;18.3;11;32;Rene
115;1.58;174;10;9;33;Louise
56;1.55;100;8.1;14;34;Helene
83;1.91;270;9.6;14;35;Celine
57;1.7;130;19.8;9;36;Veronique
67;1.83;283;15.6;8;37;Yves
104;1.42;286;10.9;13;38;Isabelle
62;1.86;272;9.1;15;39;David
66;1.39;141;9.3;14;40;Paul
67;1.59;190;13.1;12;41;Brigitte
93;1.69;168;19.3;11;42;Celine
117;1.69;176;13.9;11;43;Patrick
105;1.37;164;17.2;15;44;Eric
96;1.9;173;12.1;13;45;Emilie
112;1.99;262;19.1;8;46;Maxime
98;1.62;285;9.6;10;47;Madeleine
104;1.49;150;16.7;15;48;Stephane
88;1.9;127;8.2;13;49;Patrick
102;1.9;145;8.7;9;50;Suzanne
54;1.47;233;10.4;9;51;Julien
60;1.98;277;7.9;12;52;Eric
67;1.89;297;18.2;13;53;Maurice
101;1.53;104;7.6;13;54;Didier
116;1.85;243;14.9;11;55;Philippe
48;1.4;145;15.4;9;56;Denise
90;1.8;115;9.4;14;57;Lea
57;1.96;299;7;10;58;Philippe
94;1.48;109;19.8;13;59;Bernard
92;1.44;111;10.8;12;60;Helene
111;1.59;154;16.6;10;61;Helene
51;1.63;144;7.8;8;62;Alice
115;1.75;189;14.4;15;63;Laurent
80;1.72;172;10.1;8;64;Martine
94;1.96;262;10;11;65;Gerard
102;1.89;225;11;11;66;Maxime
95;1.9;278;13.6;8;67;Antoine
96;1.52;125;18.4;10;68;Jeanne
91;1.68;267;9.3;8;69;Simone
73;1.89;234;11.3;12;70;Robert
106;1.97;285;17.9;9;71;Aurelie
49;1.55;144;16.5;14;72;Raymond
58;1.92;210;11;13;73;Brigitte
55;1.71;189;17.9;14;74;Jeannine
68;1.53;111;13.9;14;75;Georges
107;1.44;170;9.1;9;76;Guy
73;1.93;103;11.3;10;77;Christophe
114;1.3;255;10.8;11;78;Aurelie
60;1.77;136;11.2;10;79;Sandrine
94;1.74;137;19.7;14;80;Andre
108;1.77;187;16.6;9;81;Rene
105;1.35;122;8.6;14;82;Alain
47;1.92;131;11.3;10;83;Celine
117;1.44;121;11.8;12;84;Veronique
88;1.3;258;19.3;10;85;Nathalie
109;1.88;251;13.6;8;86;Marc
69;1.67;239;12.5;8;87;Julien
65;1.52;234;14;12;88;Annie
47;1.88;267;14.9;9;89;Christian
111;1.47;108;14.3;14;90;Sylvie
108;1.77;270;16.5;8;91;Christophe
71;1.83;222;16.4;13;92;Brigitte
52;1.35;149;14.9;13;93;Philippe
102;1.82;273;13.2;15;94;Christian
83;1.95;110;17.4;12;95;Paulette
60;1.47;253;14.8;10;96;Rene
70;1.74;182;10.3;8;97;Veronique
50;1.56;165;10.2;9;98;Marcelle
46;1.98;114;9.5;9;99;Laurence
76;1.54;211;10.9;9;100;Marc
